"id","city_ar","city_en","name_ar","name_en","address_ar","address_en","link","phone","createdAt","updatedAt"
"13","المنطقة الغربية ","Outside the Kingdom of Saudi Arabia","جدة - الرحيلي ","Jeddah - Al Ruhaili","في محطة الرحيلي ","At Al-Ruhaili Station","https://maps.app.goo.gl/hgnNzQt85YqASWp36","920016097","2026-01-29 11:40:51.118","2026-01-29 11:41:21.186"
"14","المنطقة الغربية ","Outside the Kingdom of Saudi Arabia","ينبع - التأخي ","Yanbu - altakhi","في ينبع حي التأخي ","In Yanbu, Al-Taakhi neighborhood","https://maps.app.goo.gl/2c7WZLjTNXZ6Qxmt8","920016097","2026-01-29 11:45:49.943","2026-01-29 11:54:39.502"
"15","المنطقة الغربية ","Outside the Kingdom of Saudi Arabia","الطائف - السيل الصغير ","Ta'if - Al-Sail Al-Sagheer","في الطائف حي السيل الصغير ","In Taif, Al-Seil Al-Sagheer neighborhood","https://maps.app.goo.gl/nFaAjWfDeNHMwHZq5","920016097","2026-01-29 11:47:42.582","2026-01-29 11:47:53.442"
"16","المنطقة الوسطى"," central region","الرياض - العقيق ","Al-Riyadh – Al-Aqiq","الرياض- العقيق","Al-Riyadh – Al-Aqiq","https://maps.app.goo.gl/Veq77nzhGyA7tpbL9","920016097","2026-01-29 11:50:19.982","2026-01-29 11:52:57.548"
"17","المنطقة الوسطى","Outside the Kingdom of Saudi Arabia","الرياض - أم الحمام ",,"الرياض حي أم الحمام ","Riyadh, in the Umm Al-Hamam neighborhood","https://maps.app.goo.gl/uAJfY1mkLQnABVoy6","920016097","2026-01-29 11:50:49.990","2026-01-29 11:50:49.990"
"18","المنطقة الوسطى","Outside the Kingdom of Saudi Arabia","الرياض - الندوة ","Riyadh - alnadwa","الرياض حي الندوة ","Riyadh, Al-Nadwa District","https://maps.app.goo.gl/tG8Pg9BoXZKcDWcu7","920016097","2026-01-29 11:52:53.607","2026-01-29 11:52:53.607"
"19","المنطقة الوسطى"," central region","الرياض - المصيف ","Riyadh – Al-Maseef District","الرياض - المصيف ","Riyadh – Al-Maseef District","https://maps.app.goo.gl/NkTDaybaky4ut85P7","920016097","2026-01-29 11:54:16.837","2026-01-29 11:54:16.837"
"20","المنطقة الجنوبية ","southern region","أبها - المحالة ","Abha – Al-Muhalah","أبها - المحالة ","Abha – Al-Muhalah","https://maps.app.goo.gl/ogLw2T4iieTqF8Wq7","920016097","2026-01-29 11:55:33.278","2026-01-29 11:55:33.278"
"21","المنطقة الغربية ","Western Region","المدينة المنورة - طريق السلام","Madinah - Al Salam Road","في المدينة طريق السلام","Madinah - Al Salam Road","https://maps.app.goo.gl/vhj8hmq7NU28nRug6","920016097","2026-01-29 11:56:13.116","2026-01-29 11:57:22.102"
"22","المنطقة الوسطى"," central region","الرياض - القدس ","Riyadh – Al-Quds","الرياض - القدس ","Riyadh – Al-Quds","https://maps.app.goo.gl/TYk3MwzKPDhoUyAC9","920016097","2026-01-29 11:56:30.452","2026-01-29 11:56:30.452"
"23","المنطقة الوسطى"," central region","الرياض - خريص ","Riyadh – Khurais","الرياض - خريص ","Riyadh – Khurais","https://maps.app.goo.gl/KWvsqwWtamPk1Dvp8","920016097","2026-01-29 11:57:31.833","2026-01-29 11:57:31.833"
"24","المنطقة الغربية ","Western Region","جدة - النهضة ","Jeddah – Al-Nahdah","جدة - النهضة ","Jeddah – Al-Nahdah","https://maps.app.goo.gl/A5u6K43zmE7ccAxv5","920016097","2026-01-29 11:58:23.317","2026-01-29 11:58:23.317"
"25","المنطقة الوسطى"," central region","الرياض - الملز","Riyadh - Al Malaz","في الرياض الملز","Riyadh - Al Malaz","46	الرياض	الملز	46-A	https://maps.app.goo.gl/sDqaDEk27c2kRSXu8					","920016097","2026-01-29 11:58:30.408","2026-01-29 11:58:30.408"
"26","المنطقة الوسطى"," central region","الرياض - الربيع ","Riyadh – Al-Rabie","الرياض - الربيع","Riyadh – Al-Rabie","https://maps.app.goo.gl/WA9pHJkrpPxgBcXi8","920016097","2026-01-29 11:59:21.240","2026-01-29 12:10:46.012"
"27","المنطقة الوسطى"," central region","الرياض - السليمانية ","Riyadh – Al-Sulaimaniyah","الرياض - السليمانية ","Riyadh – Al-Sulaimaniyah","https://maps.app.goo.gl/BtLPTbXhabjxQfGYA","920016097","2026-01-29 12:00:28.354","2026-01-29 12:00:28.354"
"28","المنطقة الجنوبية ","southern region","الباحة - طريق العقيق","Al-Baha - Al-Aqiq Road","الباحة طريق العقيق","Al-Baha - Al-Aqiq Road","47	الباحة	طريق العقيق	47-A	https://maps.app.goo.gl/mZ6NxsKbFZ2DKTAx6					","920016097","2026-01-29 12:00:42.883","2026-01-29 12:00:42.883"
"29","المنطقة الوسطى"," central region","الرياض - الرمال","Riyadh - Al-Rimal","الرياض  الرمال","Riyadh - Al-Rimal","48	الرياض	الرمال	48-A	https://maps.app.goo.gl/L6ZFTnJnH9WppZFw9					","920016097","2026-01-29 12:02:46.493","2026-01-29 12:02:46.493"
"30","المنطقة الوسطى"," central region","الرياض - اليرموك ","Riyadh – Al-Yarmouk","الرياض - اليرموك","Riyadh – Al-Yarmouk","https://maps.app.goo.gl/p5Upcdu3KSQK67Pz7","920016097","2026-01-29 12:02:50.889","2026-01-29 12:02:50.889"
"31","المنطقة الجنوبية ","southern region","أبها - الوردتين ","Abha – Al-Wardatayn","أبها - الوردتين ","Abha – Al-Wardatayn","https://maps.app.goo.gl/gQwWZ73J6LgTLuA69","920016097","2026-01-29 12:03:52.011","2026-01-29 12:10:30.398"
"32","المنطقة الشرقية","Eastern region","الاحساء المبرز - طريق عين نجم","Al-Ahsa, Al-Mubarraz - Ain Najm Road","الاحساء المبرز - طريق عين نجم","Al-Ahsa, Al-Mubarraz - Ain Najm Road","			49	الأحساء-المبرز	طريق عين نجم	49-A	https://maps.app.goo.gl/YDX7xQbYHMQm7L918					","920016097","2026-01-29 12:04:09.899","2026-01-29 12:04:09.899"
"33","المنطقة الوسطى"," central region","الرياض - طريق القصيم","Riyadh - Qassim Road","الرياض طريق القصيم","Riyadh - Qassim Road","https://maps.app.goo.gl/rbN42VzVcFi1joXk9","920016097","2026-01-29 12:06:06.545","2026-01-29 12:06:06.545"
"34","المنطقة الغربية ","Western Region","الطائف - شهار","Taif - Shihar","الطائف شهار","Taif - Shihar","https://maps.app.goo.gl/zReV8w8eFBJ6EUQZ7","920016097","2026-01-29 12:07:35.270","2026-01-29 12:07:35.270"
"35","المنطقة الجنوبية ","southern region","خميس مشيط - طريق المدينة ","Khamis Mushait – Al-Madinah Road","خميس مشيط - طريق المدينة ","Khamis Mushait – Al-Madinah Road","https://maps.app.goo.gl/dCmwkVYjEY1zMfeu7","920016097","2026-01-29 12:07:48.774","2026-01-29 12:10:17.203"
"36","المنطقة الوسطى"," central region","الرياض - النظيم","Riyadh - Al-Nazeem","الرياض النظيم","Riyadh - Al-Nazeem","https://maps.app.goo.gl/7bG9fjt8EivZM5UG7","920016097","2026-01-29 12:09:20.552","2026-01-29 12:09:20.552"
"37","المنطقة الوسطى"," central region","الرياض - النرجس طريق الأمير فيصل بن بندر ","Riyadh – Al-Narjis, Prince Faisal bin Bandar Road","الرياض - النرجس طريق الأمير فيصل بن بندر","Riyadh – Al-Narjis, Prince Faisal bin Bandar Road","https://maps.app.goo.gl/aMvVjS4s464FocPE8","920016097","2026-01-29 12:09:57.168","2026-01-29 12:10:05.866"
"38","المنطقة الوسطى"," central region","الرياض - حطين","Riyadh - Hittin","الرياض - حطين","Riyadh - Hittin","https://maps.app.goo.gl/if1GMYiVqJJ2AZRL6","920016097","2026-01-29 12:10:23.796","2026-01-29 12:10:23.796"
"39","المنطقة الغربية ","Western Region","الطائف - الحوية","Taif - Al-Hawiyah","الطائف الحوية","Taif - Al-Hawiyah","https://maps.app.goo.gl/7ySoh77TGVDbxbJr9","920016097","2026-01-29 12:11:07.905","2026-01-29 12:11:16.821"
"40","المنطقة الوسطى"," central region","الرياض - البديعة","Riyadh - Al-Badi'ah","الرياض البديعة","Riyadh - Al-Badi'ah","https://maps.app.goo.gl/vUxSGMw8XcEhHkfJ7","920016097","2026-01-29 12:12:31.812","2026-01-29 12:12:51.834"
"41","المنطقة الجنوبية ","southern region","أبها - القرعاء","Abha - AlQur'aa","أبها حي القرعاء في جامعة الملك خالد","Abha, Al-Qara'a district, at King Khalid University","https://maps.app.goo.gl/JWjaEqtAw3HeAa1J6","920016097","2026-01-29 12:14:01.264","2026-01-29 12:14:32.178"
"42","المنطقة الوسطى"," central region","الرياض - الدرعية","Riyadh - Diriyah","الرياض الدرعية","Riyadh - Diriyah","https://maps.app.goo.gl/DPkzfdq88dGFdzk47","920016097","2026-01-29 12:14:13.790","2026-01-29 12:14:13.790"
"43","المنطقة الوسطى"," central region","بريدة - الصفاء","بريدة - الصفاء","القصيم بريدة حي الصفاء","Al-Qassim, Buraidah, Al-Safaa District","https://maps.app.goo.gl/LdYKLATULYVWoxat9","920016097","2026-01-29 12:19:04.572","2026-01-29 12:19:04.572"
"44","المنطقة الغربية ","Western Region","مكة المكرمة - الزايدي","Mecca - AlZaidi","مكة المكرمة حي الزايدي","Mecca, Al-Zaidi District","https://maps.app.goo.gl/htfyFKnnqZPyjqLM9","920016097","2026-01-29 12:22:02.453","2026-01-29 12:22:02.453"
"45","المنطقة الشرقية","Eastern region","القطيف - المشتل ","Qatif - Al-Mushtal","في القطيف حي المشتل ","In Al-Meshtal neighborhood, Qatif","https://maps.app.goo.gl/MgTwNM5kgyJL2ahn9","920016097","2026-01-29 12:23:38.978","2026-01-29 12:23:38.978"
"46","المنطقة الوسطى"," central region","الرياض - الدائري الغربي ","Riyadh - Western Ring Road","الرياض في حي السويدي الغربي في طريق الدائري الشرقي","Riyadh in the western neighborhood of Al-Suwaidi on the Eastern Ring Road","https://maps.app.goo.gl/kjzBmaZeUZkTwY8M7","920016097","2026-01-29 12:25:45.674","2026-01-29 12:42:52.055"
"47","المنطقة الوسطى"," central region","الرياض - الهدا","Riyadh - Al Hada","الرياض في حي الهداء ","Riyadh in Al-Huda neighborhood","https://maps.app.goo.gl/ipGnhXyvP9PrBB838","920016097","2026-01-29 12:27:25.277","2026-01-29 12:27:25.277"
"48","المنطقة الجنوبية ","southern region","جازان - بيش ","Jazan - Bish","في جازان بيش ","In Jazan, Bish","https://maps.app.goo.gl/5wqofaHmat1j7mEc9","920016097","2026-01-29 12:29:46.853","2026-01-29 12:29:46.853"
"49","المنطقة الوسطى"," central region","الرياض - السعادة","Riyadh - Happiness","الرياض السعادة","Riyadh - Happiness","https://maps.app.goo.gl/D35r8fWPmSb9W2wU8","920016097","2026-01-29 12:40:55.906","2026-01-29 12:40:55.906"
"50","المنطقة الغربية ","Western Region","الطائف - الحلقة","Taif - Episode","الطائف - الحلقة","Taif - Episode","https://maps.app.goo.gl/wibcQEdUwo3195wh8","920016097","2026-01-29 12:42:31.077","2026-01-29 12:42:31.077"
"51","المنطقة الغربية ","Western Region","مكة - الشرائع","Mecca - Al-Shara'i","مكة الشرائع","Mecca - Al-Shara'i","https://maps.app.goo.gl/8dsKiDuLFQm9hCuH8","920016097","2026-01-29 12:43:38.001","2026-01-29 12:44:46.855"
"52","المنطقة الغربية ","Western Region","مكة المكرمة - الجموم ","Mecca - Al-Jamoom","مكة المكرمة الجموم ","Mecca - Al-Jamoom","https://maps.app.goo.gl/kWk3Yy96Y8Gq689k6","920016097","2026-01-29 12:43:42.853","2026-01-29 12:43:42.853"
"53","المنطقة الوسطى"," central region","حريملاء - طريق الملك عبدالله ","Harimlaa - King Abdullah Road","حريملاء - طريق الملك عبدالله ","Harimlaa - King Abdullah Road","https://maps.app.goo.gl/FjZnacnP3eXT2Wc57","920016097","2026-01-29 12:45:19.235","2026-01-29 12:45:19.235"
"54","المنطقة الغربية ","Western Region","مكة - الشوقية","Mecca - Al Shawqiyah","مكة - الشوقية","Mecca - Al Shawqiyah","https://maps.app.goo.gl/du7Hx4KBJXf4oXnW6","920016097","2026-01-29 12:45:53.610","2026-01-29 12:45:53.610"
"55","المنطقة الجنوبية ","southern region","جازان - الدرب ","Jazan - Al Darb","جازان - الدرب ","Jazan - Al Darb","https://maps.app.goo.gl/KQgd6aBW9mBW4Y6k9","920016097","2026-01-29 12:46:21.609","2026-01-29 12:46:21.609"
"56","المنطقة الوسطى"," central region","الرياض - الربوة","Riyadh - Al Rabwah","الرياض  الربوة","Riyadh - Al Rabwah","https://maps.app.goo.gl/THtFDWZc2vrn4SKk9","920016097","2026-01-29 12:46:53.321","2026-01-29 12:46:53.321"
"57","المنطقة الغربية ","Western Region","جدة - الزهراء","Jeddah - Al-Zahra","جدة - الزهراء","Jeddah - Al-Zahra","https://maps.app.goo.gl/TYPpE8RMqxwDFKk58","920016097","2026-01-29 12:47:18.435","2026-01-29 12:54:55.298"
"58","المنطقة الوسطى"," central region","الرياض - الفيحاء","Riyadh - Al-Fayha","الرياض - الفيحاء","Riyadh - Al-Fayha","https://maps.app.goo.gl/6UAmY1qvVWTFC5RQA","920016097","2026-01-29 12:47:42.649","2026-01-29 12:47:42.649"
"59","المنطقة الوسطى"," central region","الرياض - قرطبة ","Riyadh, Qurtubah","الرياض - قرطبة ","Riyadh, Qurtubah","https://maps.app.goo.gl/NeknBSK6t1gHv8eU9","920016097","2026-01-29 12:48:06.291","2026-01-29 12:48:06.291"
"60","المنطقة الوسطى"," central region","الرياض - العوالي","Riyadh - Al-Awali","الرياض - العوالي","Riyadh - Al-Awali","https://maps.app.goo.gl/sTgu8pxwQYGMSoNEA","920016097","2026-01-29 12:48:30.866","2026-01-29 12:48:30.866"
"61","المنطقة الوسطى"," central region","بريدة-الريان","Buraidah-Al Rayyan","بريدة-الريان","Buraidah-Al Rayyan","https://maps.app.goo.gl/GbPi7uG4diM5hDGb8","920016097","2026-01-29 12:48:54.284","2026-01-29 12:48:54.284"
"62","المنطقة الجنوبية ","southern region","جازان - الشاطئ ","Jazan Al-Shati’","جازان - الشاطئ ","Jazan Al-Shati’","https://maps.app.goo.gl/vBkvsoG8orex8aye9","920016097","2026-01-29 12:49:04.732","2026-01-29 12:49:04.732"
"63","المنطقة الغربية ","Western Region","جدة - النسيم","Jeddah - Al Naseem","جدة - النسيم","Jeddah - Al Naseem","https://maps.app.goo.gl/sVcKuR8WVzNxc5JK6","920016097","2026-01-29 12:49:42.466","2026-01-29 12:49:42.466"
"64","المنطقة الوسطى"," central region","الرياض - النخيل ","Riyadh Al-Nakheel","الرياض - النخيل ","Riyadh Al-Nakheel","https://maps.app.goo.gl/RyQdPxzMPPyiDjQh8","920016097","2026-01-29 12:50:09.061","2026-01-29 12:50:09.061"
"65","المنطقة الجنوبية ","southern region","خميس مشيط-الحسام","Khamis Mushait-Al Hussam","خميس مشيط-الحسام","Khamis Mushait-Al Hussam","https://maps.app.goo.gl/z2LUMiaknf2HPRYf6","920016097","2026-01-29 12:50:24.305","2026-01-29 12:50:24.305"
"66","المنطقة الشرقية","Eastern region","حفر الباطن - المحمدية","Hafar Al-Batin - Al-Muhammadiyah","حفر الباطن - المحمدية","Hafar Al-Batin - Al-Muhammadiyah","https://maps.app.goo.gl/upiZcRAuksvC9jhJ9","920016097","2026-01-29 12:50:38.834","2026-01-29 12:50:38.834"
"67","المنطقة الجنوبية ","southern region","بيشة - الخزامى ","Bisha Al-Khuzama","بيشة - الخزامى ","Bisha Al-Khuzama","https://maps.app.goo.gl/oCKYwjH8YBtRfD2g7","920016097","2026-01-29 12:50:58.126","2026-01-29 12:54:40.613"
"68","المنطقة الوسطى"," central region","الرياض-طويق","Riyadh-Tuwaiq","الرياض-طويق","Riyadh-Tuwaiq","https://maps.app.goo.gl/RpPrUtJEM9vejJaa6","920016097","2026-01-29 12:51:37.675","2026-01-29 12:51:37.675"
"69","المنطقة الجنوبية ","southern region","احد رفيدة - السلامة","Ahad Rafidah - Al Salamah","احد رفيدة السلامة","Ahad Rafidah - Al Salamah","https://maps.app.goo.gl/SPrhukPpQ7vPkyHG8","920016097","2026-01-29 12:52:03.890","2026-01-29 12:52:03.890"
"70","المنطقة الجنوبية ","southern region","نجران - الأمير مشعل ","Najran Prince Mishal","نجران - الأمير مشعل ","Najran Prince Mishal","https://maps.app.goo.gl/C2z4hDHY6C9kyfxw8","920016097","2026-01-29 12:52:49.536","2026-01-29 12:54:26.693"
"71","المنطقة الوسطى"," central region","الرياض - الأحمدية ","Riyadh - Ahmadiyya","الرياض - الأحمدية ","Riyadh - Ahmadiyya","https://maps.app.goo.gl/bxtrkeLEnZzvgNRi9","920016097","2026-01-29 12:52:50.140","2026-01-29 12:52:50.140"
"72","المنطقة الوسطى"," central region","الرياض-عرقة","Riyadh-Irqah","الرياض-عرقة","Riyadh-Irqah","https://maps.app.goo.gl/BhjFRk4JR7xro5a5A","920016097","2026-01-29 12:53:04.379","2026-01-29 12:53:04.379"
"73","المنطقة الشرقية","Eastern region","الدمام - الفيصلية","Dammam - Al Faisaliyah","الدمام - الفيصلية","Dammam - Al Faisaliyah","https://maps.app.goo.gl/6pXw285CWUW4vkZS7","920016097","2026-01-29 12:53:36.810","2026-01-29 12:53:36.810"
"74","المنطقة الشرقية","Eastern region","الأحساء - الهفوف الضلع الشرقي ","Al-Ahsa – Al-Hofuf, East Side","الأحساء - الهفوف الضلع الشرق","Al-Ahsa – Al-Hofuf, East Side","https://maps.app.goo.gl/HsC8EhbZnNn9o1i7A","920016097","2026-01-29 12:54:03.144","2026-01-29 12:54:14.344"
"75","المنطقة الوسطى"," central region","الرياض - الشهداء ","Riyadh - ash-shuhada'","الرياض - الشهداء ","Riyadh - ash-shuhada'","https://maps.app.goo.gl/1MeWw7WN3YNU4M1J8","920016097","2026-01-29 12:54:12.026","2026-01-29 12:54:12.026"
"76","المنطقة الجنوبية ","southern region","صبيا-طريق الملك فهد","Sabya-King Fahd Road","صبيا-طريق الملك فهد","Sabya-King Fahd Road","https://maps.app.goo.gl/s7racVvw6uEmQa7r8","920016097","2026-01-29 12:54:38.593","2026-01-29 12:54:38.593"
"77","المنطقة الوسطى"," central region","الرياض - النرجس عثمان بن عفان","Riyadh - Nargis Othman bin Affan","الرياض  النرجس عثمان بن عفان","Riyadh - Nargis Othman bin Affan","https://maps.app.goo.gl/SAQiCrzgQpP9y5C78","920016097","2026-01-29 12:54:52.395","2026-01-29 12:54:52.395"
"78","المنطقة الوسطى"," central region","الرياض - النزهة ","Riyadh - Al-Nozha","الرياض - النزهة ","Riyadh - Al-Nozha","https://maps.app.goo.gl/umBmMkrXuwV1w4XN7","920016097","2026-01-29 12:55:32.040","2026-01-29 12:55:32.040"
"79","المنطقة الشرقية","Eastern region","الخبر - العقربية","Al-Khobar - Al-Aqrabiyah","الخبر  العقربية","Al-Khobar - Al-Aqrabiyah","https://maps.app.goo.gl/FWc9ffTcSkJKKmxx5","920016097","2026-01-29 12:55:44.762","2026-01-29 12:55:44.762"
"80","المنطقة الوسطى"," central region","الخرج - الملقا ","Al-Kharj – Al-Mulqa","الخرج - الملقا ","Al-Kharj – Al-Mulqa","https://maps.app.goo.gl/o72taJCnAg32xZcE7","920016097","2026-01-29 12:55:45.269","2026-01-29 12:55:53.681"
"81","المنطقة الوسطى"," central region","الرياض-الحزم","Riyadh-Al Hazm","الرياض-الحزم","Riyadh-Al Hazm","https://maps.app.goo.gl/GkHdgYJRapvqwfkP9","920016097","2026-01-29 12:55:49.070","2026-01-29 12:55:49.070"
"82","المنطقة الوسطى"," central region","الرياض - الياسمين","Riyadh - Al-Yasmin","الرياض - الياسمين","Riyadh - Al-Yasmin","https://maps.app.goo.gl/JoCW4fvDDSYC1abx8","920016097","2026-01-29 12:56:25.986","2026-01-29 12:56:25.986"
"83","المنطقة الشمالية ","Northern Region","تبوك - العليا ","Tabuk – Al-Olaya","تبوك - العليا","Tabuk – Al-Olaya","https://maps.app.goo.gl/Lmd7zVU2RLehbZ5C9","920016097","2026-01-29 12:56:42.089","2026-01-29 12:56:53.021"
"84","المنطقة الغربية ","Western Region","مكة المكرمة - بطحاء قريش ","Mecca - Bat'ha Quraysh","مكة المكرمة - بطحاء قريش ","Mecca - Bat'ha Quraysh","https://maps.app.goo.gl/U77Zmvjvjo3rNDEf9","920016097","2026-01-29 12:56:45.691","2026-01-29 12:56:45.691"
"85","المنطقة الغربية ","Western Region","القنفذة-طريق الملك عبدالعزيز","Al Qunfudhah-King Abdulaziz Road","القنفذة-طريق الملك عبدالعزيز","Al Qunfudhah-King Abdulaziz Road","https://maps.app.goo.gl/EnrZfR648SC171Y56","920016097","2026-01-29 12:57:06.549","2026-01-29 12:57:06.549"
"86","المنطقة الوسطى"," central region","شقراء - القارة","Shaqra - Al-Qara","شقراء القارة","Shaqra - Al-Qara","https://maps.app.goo.gl/GxMUSHbGrLQLAdbd7","920016097","2026-01-29 12:57:19.934","2026-01-29 12:57:19.934"
"87","المنطقة الوسطى","Outside the Kingdom of Saudi Arabia","الرياض - العارض سعود بن جلوي ","Riyadh – Al-Arid, Saud Bin Jalawi","الرياض - العارض سعود بن جلوي","Riyadh – Al-Arid, Saud Bin Jalawi","https://maps.app.goo.gl/uUy6wwP4GLEgWFP1A","920016097","2026-01-29 12:57:45.797","2026-01-29 12:57:45.797"
"88","المنطقة الغربية ","Western Region","مكة المكرمة - المعيصم","Mecca - Al-Mu'aysim","مكة المكرمة - المعيصم","Mecca - Al-Mu'aysim","https://maps.app.goo.gl/6z5SPN1k9VQ41nXG8","920016097","2026-01-29 12:57:58.612","2026-01-29 12:57:58.612"
"89","المنطقة الغربية ","Western Region","جدة-الحمدانية","Jeddah-Al Hamdaniyah","جدة-الحمدانية","Jeddah-Al Hamdaniyah","https://maps.app.goo.gl/AESt6uHeibUREhCa9","920016097","2026-01-29 12:58:07.126","2026-01-29 12:58:07.126"
"90","المنطقة الوسطى"," central region","الخرج - الفيصلية","Al-Kharj - Al-Faisaliyah","الخرج - الفيصلية","Al-Kharj - Al-Faisaliyah","https://maps.app.goo.gl/FoEd6XYVPcdp4RJc8","920016097","2026-01-29 12:58:27.085","2026-01-29 12:58:27.085"
"91","المنطقة الوسطى"," central region","الرياض - الريان ","Riyadh – Al-Rayan","الرياض - الريان ","Riyadh – Al-Rayan","https://maps.app.goo.gl/RFmjFw9ApVeKUH4j8","920016097","2026-01-29 12:58:27.961","2026-01-29 12:58:27.961"
"92","المنطقة الوسطى"," central region","الرياض-القادسية","Riyadh-Al Qadisiyah","الرياض-القادسية","Riyadh-Al Qadisiyah","https://maps.app.goo.gl/1iQS9tKjVw1ZLHF3A","920016097","2026-01-29 12:59:02.511","2026-01-29 12:59:02.511"
"93","المنطقة الوسطى"," central region","الرياض - الثمامة","Riyadh - Al Thumamah","الرياض - الثمامة","Riyadh - Al Thumamah","https://maps.app.goo.gl/3fUwS9SHS3ZstQzj8","920016097","2026-01-29 12:59:07.242","2026-01-29 12:59:07.242"
